Symbol, Name, Asset Class, Assets
AAA, AAF First Priority CLO Bond ETF	Fixed Income	7.30M
AAAU,Goldman Sachs Physical Gold ETF	Commodity	420.91M
AADR,AdvisorShares Dorsey Wright ADR ETF	Equity	39.31M
AAPB,GraniteShares 1.75x Long AAPL Daily ETF	Equity	588.00K
AAPD,Direxion Daily AAPL Bear 1X Shares	Equity	10.71M
AAPU,Direxion Daily AAPL Bull 1.5X Shares	Equity	6.16M
AAXJ,iShares MSCI All Country Asia ex Japan ETF	Equity	2.82B
ABEQ,Absolute Core Strategy ETF	Equity	85.68M
ACES,ALPS Clean Energy ETF	Equity	691.90M
ACIO,Aptus Collared Income Opportunity ETF	Equity	538.45M
ACSI,American Customer Satisfaction Core Alpha ETF	Equity	70.32M
ACTV,LeaderShares Activist Leaders ETF	Equity	89.11M
ACVF,American Conservative Values ETF	Equity	34.61M
ACWF,iShares Edge MSCI Multifactor Global ETF	Equity	121.91M
ACWI,iShares MSCI ACWI ETF	Equity	16.89B
ACWV,iShares Edge MSCI Min Vol Global ETF	Equity	4.67B
ACWX,iShares MSCI ACWI ex U.S. ETF	Equity	4.03B
ADFI,Anfield Dynamic Fixed Income ETF	Fixed Income	16.21M
ADIV,SmartETFs Asia Pacific Dividend Builder ETF	Equity	3.46M
ADME,APTUS Drawdown Managed Equity ETF	Equity	346.08M
ADPV,Adaptiv Select ETF	Equity	10.28M
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund	Equity	132.66M
AEMB,American Century Emerging Markets Bond ETF	Fixed Income	26.63M
AESR,Anfield Equity Sector Rotation ETF	Equity	131.43M
AFIF,Anfield Universal Fixed Income ETF	Fixed Income	121.65M
AFK	, VanEck Vectors Africa Index ETF	Equity	49.08M
AFLG,First Trust Active Factor Large Cap ETF	Equity	4.93M
AFMC,First Trust Active Factor Mid Cap ETF	Equity	1.18M
AFSM,First Trust Active Factor Small Cap ETF	Equity	3.64M
AFTY,CSOP FTSE China A50 ETF	Equity	5.61M
AGG	, iShares Core U.S. Aggregate Bond ETF	Fixed Income	80.05B
AGGH,Simplify Aggregate Bond PLUS Credit Hedge ETF	Fixed Income	2.97M
AGGY,WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund	Fixed Income	840.18M
AGIH,iShares Inflation Hedged U.S. Aggregate Bond ETF	Fixed Income	2.47M
AGNG,Global X Aging Population ETF	Equity	42.49M
AGOV,Gavekal Asian Government Bond ETF	Fixed Income	49.43M
AGOX,Adaptive Growth Opportunities ETF	Asset Allocation	167.02M
AGQ	, ProShares Ultra Silver	Commodity	451.75M
AGRH,iShares Interest Rate Hedged U.S. Aggregate Bond ETF	Fixed Income	2.54M
AGZ	, iShares Agency Bond ETF	Fixed Income	584.94M
AGZD,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund	Fixed Income	333.86M
AHHX,Adaptive High Income ETF	Asset Allocation	35.57M
AHOY,Newday Ocean Health ETF	Equity	1.60M
AHYB,American Century Select High Yield ETF	Fixed Income	28.41M
AIA	, iShares Asia 50 ETF	Equity	1.36B
AIEQ,AI Powered Equity ETF	Equity	106.36M
AILG,Alpha Intelligent - Large Cap Growth ETF	Equity	1.63M
AILV,Alpha Intelligent - Large Cap Value ETF	Equity	497.10K
AIQ	, Global X Future Analytics Tech ETF	Equity	142.88M
AIRR,First Trust RBA American Industrial Renaissance ETF	Equity	208.35M
AIVI,WisdomTree International AI Enhanced Value Fund	Equity	81.29M
AIVL,WisdomTree U.S. AI Enhanced Value Fund	Equity	441.22M
ALTL,Pacer Lunt Large Cap Alternator ETF	Equity	877.94M
ALTY,Global X SuperDividend Alternatives ETF	Alternatives	37.67M
AMAX,RH Hedged Multi-Asset Income ETF	Asset Allocation	43.43M
AMID,Argent Mid Cap ETF	Equity	27.07M
AMLP,Alerian MLP ETF	Equity	6.68B
AMOM,QRAFT AI Enhanced U.S. Large Cap Momentum ETF	Equity	12.04M
AMZA,InfraCap MLP ETF	Equity	333.58M
AMZD,Direxion Daily AMZN Bear 1X Shares	Equity	4.12M
AMZU,Direxion Daily AMZN Bull 1.5X Shares	Equity	2.32M
ANEW,ProShares MSCI Transformational Changes ETF	Equity	25.10M
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF	Fixed Income	2.97B
AOA	, iShares Core Aggressive Allocation ETF	Asset Allocation	1.53B
AOK	, iShares Core Conservative Allocation ETF	Asset Allocation	868.99M
AOM	, iShares Core Moderate Allocation ETF	Asset Allocation	1.45B
AOR	, iShares Core Growth Allocation ETF	Asset Allocation	2.16B
AOTG,AOT Growth and Innovation ETF	Equity	19.36M
APRT,AllianzIM U.S. Large Cap Buffer10 Apr ETF	Equity	19.20M
APRW,AllianzIM U.S. Large Cap Buffer20 Apr ETF	Equity	59.62M
APRZ,TrueShares Structured Outcome (April) ETF	Equity	5.69M
APXH,APEX Healthcare ETF	Equity	6.99M
AQGX,AI Quality Growth ETF	Equity	32.03M
AQWA,Global X Clean Water ETF	Equity	7.66M
ARB	, AltShares Merger Arbitrage ETF	Alternatives	83.24M
ARCM,Arrow Reserve Capital Management ETF	Fixed Income	50.59M
ARGT,Global X MSCI Argentina ETF	Equity	28.52M
ARKF,ARK FinTech Innovation ETF	Equity	804.67M
ARKG,ARK Genomic Revolution ETF	Equity	2.31B
ARKK,ARK Innovation ETF	Equity	7.58B
ARKQ,ARK Autonomous Technology & Robotics ETF	Equity	953.17M
ARKW,ARK Next Generation Internet ETF	Equity	1.21B
ARKX,ARK Space Exploration & Innovation ETF	Equity	282.15M
ARMR,Armor US Equity Index ETF	Equity	52.84M
ARVR,First Trust Indxx Metaverse ETF	Equity	1.29M
ASEA,Global X FTSE Southeast Asia ETF	Equity	40.46M
ASET,FlexShares Real Assets Allocation Index Fund	Equity	31.28M
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF	Equity	1.65B
ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF	Equity	32.02M
ASHX,Xtrackers MSCI China A Inclusion Equity ETF	Equity	5.53M
ASPY,ASYMshares ASYMmetric 500 ETF	Alternatives	26.49M
ATFV,Alger 35 ETF	Equity	9.49M
AUGZ,TrueShares Structured Outcome (August) ETF	Equity	14.70M
AUSF,Global X Adaptive U.S. Factor ETF	Equity	171.95M
AVDE,Avantis International Equity ETF	Equity	1.99B
AVDV,Avantis International Small Cap Value ETF	Equity	2.05B
AVEM,Avantis Emerging Markets Equity ETF	Equity	1.74B
AVES,Avantis Emerging Markets Value ETF	Equity	159.31M
AVGE,Avantis All Equity Markets ETF	Equity	19.93M
AVIE,Avantis Inflation Focused Equity ETF	Equity	2.38M
AVIG,Avantis Core Fixed Income ETF	Fixed Income	233.86M
AVIV,Avantis International Large Cap Value ETF	Equity	119.75M
AVLV,Avantis U.S. Large Cap Value ETF	Equity	600.67M
AVMU,Avantis Core Municipal Fixed Income ETF	Fixed Income	41.28M
AVRE,Avantis Real Estate ETF	Equity	178.36M
AVSC,Avantis U.S Small Cap Equity ETF	Equity	47.07M
AVSD,Avantis Responsible International Equity ETF	Equity	48.32M
AVSE,Avantis Responsible Emerging Markets Equity ETF	Equity	28.40M
AVSF,Avantis Short-Term Fixed Income ETF	Fixed Income	140.76M
AVSU,Avantis Responsible U.S. Equity ETF	Equity	74.82M
AVUS,Avantis U.S. Equity ETF	Equity	2.98B
AVUV,Avantis U.S. Small Cap Value ETF	Equity	4.43B
AWAY,ETFMG Travel Tech ETF	Equity	158.67M
AWYX,ETFMG 2x Daily Travel Tech ETF	Equity	282.10K
AZTD,Aztlan Global Stock Selection DM SMID ETF	Equity	3.13M
BAB	, Invesco Taxable Municipal Bond ETF	Fixed Income	1.55B
BAD	, B.A.D. ETF	Equity	9.24M
BALT,Innovator Defined Wealth Shield ETF	Equity	252.80M
BAPR,Innovator S&P 500 Buffer ETF (April)	Equity	119.98M
BAR	, Graniteshares Gold Trust	Commodity	897.27M
BATT,Amplify Advanced Battery Metals and Materials ETF	Equity	175.79M
BAUG,Innovator S&P 500 Buffer ETF (August)	Equity	106.84M
BBAX,JPMorgan BetaBuilders Developed Asia ex-Japan ETF	Equity	3.99B
BBC	, BioShares Biotechnology Clinical Trials ETF	Equity	18.22M
BBCA,JPMorgan BetaBuilders Canada ETF	Equity	6.03B
BBEU,JPMorgan BetaBuilders Europe ETF	Equity	4.05B
BBH	, VanEck Vectors Biotech ETF	Equity	518.90M
BBIN,JPMorgan BetaBuilders International Equity ETF	Equity	3.10B
BBJP,JPMorgan BetaBuilders Japan ETF	Equity	6.96B
BBLU,EA Bridgeway Blue Chip ETF	Equity	221.44M
BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF	Equity	1.46B
BBP	, BioShares Biotechnology Products ETF	Equity	18.00M
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF	Equity	1.01B
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF	Fixed Income	37.84M
